Customer,State
BU79786,Washington
QZ44356,Arizona
AI49188,Nevada
WW63253,California
HB64268,Washington
OC83172,Oregon
XZ87318,Oregon
CF85061,Arizona
DY87989,Oregon
BQ94931,Oregon
SX51350,California
VQ65197,California
DP39365,California
SJ95423,Arizona
IL66569,California
BW63560,Oregon
FV94802,Nevada
OE15005,California
WC83389,Oregon
FL50705,California
ZK25313,Oregon
SV62436,Washington
YH23384,Arizona
TZ98966,Nevada
HM55802,California
FS42516,Oregon
US89481,California
HO30839,Washington
GE62437,Arizona
EJ77678,Oregon
SV85652,Arizona
UL64533,Nevada
PF41800,California
AO98601,Washington
SK67821,Oregon
YV55495,Arizona
KY38074,California
DM79012,Oregon
CM61827,Oregon
WC35801,Arizona
QG25316,Nevada
MB98372,Oregon
IL19217,California
SR38658,Arizona
DH41343,Washington
HG65722,Oregon
BU27331,Arizona
XM45289,Oregon
KP34198,California
SH90947,Arizona
WE95729,Oregon
PY51963,California
RB69909,Nevada
XR95069,Washington
FR46645,California
SY17488,Arizona
AP67935,California
FS37417,Arizona
ML29312,Oregon
UB61619,Oregon
CD86811,Arizona
RU83859,California
FG63582,Oregon
NN71951,California
WB37082,Arizona
SM52139,Washington
FL82372,Oregon
DP45816,Arizona
GW33762,Oregon
RZ33670,California
PY70169,Oregon
MO91628,Oregon
HW87852,Oregon
HB20453,Oregon
BN87372,Oregon
YX23800,Oregon
DZ87709,Oregon
XW13033,Nevada
LN31673,Washington
OM82309,California
ZU35962,California
VH85817,California
DT85712,California
YJ88573,Nevada
SQ19467,Oregon
HF88410,Washington
ET79815,California
QC35222,California
CJ15590,Oregon
OI48267,California
JY67916,Oregon
OE75231,Washington
CZ33664,Oregon
WK30175,Oregon
ON44465,California
TV87155,Oregon
KH48895,Arizona
NZ30757,California
RI22468,Arizona
FZ30935,Oregon
UG93476,California
AB96670,California
XK64261,Oregon
EV68375,California
UN51653,California
TO96662,Oregon
MR52087,California
DE75225,Oregon
EP80820,California
GU99037,Oregon
WI57118,California
YQ74870,Washington
MQ14219,Arizona
KN20603,Oregon
CR48975,Washington
JI70886,California
VF72557,Oregon
OX28638,Arizona
SK55033,California
OO88645,California
YT36855,Washington
CW82151,California
DY22043,Oregon
SH36774,California
EM43724,Nevada
FH85960,Oregon
XA55993,Oregon
GO36627,Arizona
QH48047,Oregon
RB50392,Washington
UH65059,Arizona
FV21968,Nevada
QA87025,Oregon
TQ13499,Arizona
BU44523,Arizona
MS41162,Arizona
PU25891,Oregon
RB81636,Washington
SX26335,Oregon
AZ95587,Arizona
DS81757,Oregon
OJ94107,Arizona
LP84436,California
YV64727,Washington
LM19287,Oregon
ZU18643,Nevada
AZ82578,California
XC67861,Arizona
YC43143,Arizona
EK59571,Oregon
GD83998,Washington
WA25797,Washington
PD27940,Arizona
BS77946,Arizona
YM50253,California
NR15332,California
